   ncalls,  tottime,  percall,  cumtime,  percall, filename:lineno(function)
        1,    0.000,    0.000,    0.000,    0.000, <__array_function__ internals>:2(<module>)
    61004,    0.093,    0.000,    0.874,    0.000, <__array_function__ internals>:2(all)
    30034,    0.041,    0.000,    0.274,    0.000, <__array_function__ internals>:2(atleast_1d)
        2,    0.000,    0.000,    0.000,    0.000, <__array_function__ internals>:2(broadcast_to)
    75120,    0.108,    0.000,    0.716,    0.000, <__array_function__ internals>:2(concatenate)
   140123,    0.150,    0.000,    1.181,    0.000, <__array_function__ internals>:2(copyto)
        4,    0.000,    0.000,    0.000,    0.000, <__array_function__ internals>:2(diff)
    60036,    0.073,    0.000,    0.327,    0.000, <__array_function__ internals>:2(dot)
        1,    0.000,    0.000,    0.000,    0.000, <__array_function__ internals>:2(empty_like)
    15032,    0.036,    0.000,    0.161,    0.000, <__array_function__ internals>:2(flipud)
    30034,    0.049,    0.000,    0.698,    0.000, <__array_function__ internals>:2(hstack)
        4,    0.000,    0.000,    0.000,    0.000, <__array_function__ internals>:2(ndim)
    60036,    0.092,    0.000,    1.387,    0.000, <__array_function__ internals>:2(norm)
    10363,    0.032,    0.000,    0.378,    0.000, <__array_function__ internals>:2(prod)
      356,    0.000,    0.000,    0.005,    0.000, <__array_function__ internals>:2(product)
        1,    0.000,    0.000,    0.000,    0.000, <__array_function__ internals>:2(sum)
     2089,    0.004,    0.000,    0.004,    0.000, <frozen importlib._bootstrap>:103(release)
     1052,    0.001,    0.000,    0.001,    0.000, <frozen importlib._bootstrap>:143(__init__)
     1052,    0.001,    0.000,    0.011,    0.000, <frozen importlib._bootstrap>:147(__enter__)
     1052,    0.001,    0.000,    0.004,    0.000, <frozen importlib._bootstrap>:151(__exit__)
     2089,    0.006,    0.000,    0.009,    0.000, <frozen importlib._bootstrap>:157(_get_module_lock)
     1045,    0.002,    0.000,    0.002,    0.000, <frozen importlib._bootstrap>:176(cb)
     1037,    0.001,    0.000,    0.007,    0.000, <frozen importlib._bootstrap>:194(_lock_unlock_module)
  1416/12,    0.001,    0.000,    1.280,    0.107, <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     9204,    0.003,    0.000,    0.003,    0.000, <frozen importlib._bootstrap>:222(_verbose_message)
        5,    0.000,    0.000,    0.000,    0.000, <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
     1004,    0.001,    0.000,    0.001,    0.000, <frozen importlib._bootstrap>:307(__init__)
     1004,    0.001,    0.000,    0.001,    0.000, <frozen importlib._bootstrap>:311(__enter__)
     1004,    0.003,    0.000,    0.005,    0.000, <frozen importlib._bootstrap>:318(__exit__)
     4014,    0.001,    0.000,    0.001,    0.000, <frozen importlib._bootstrap>:321(<genexpr>)
      940,    0.001,    0.000,    0.001,    0.000, <frozen importlib._bootstrap>:35(_new_module)
     1118,    0.001,    0.000,    0.001,    0.000, <frozen importlib._bootstrap>:369(__init__)
     1931,    0.002,    0.000,    0.013,    0.000, <frozen importlib._bootstrap>:403(cached)
     1948,    0.001,    0.000,    0.002,    0.000, <frozen importlib._bootstrap>:416(parent)
     1004,    0.000,    0.000,    0.000,    0.000, <frozen importlib._bootstrap>:424(has_location)
       14,    0.000,    0.000,    0.000,    0.000, <frozen importlib._bootstrap>:433(spec_from_loader)
     1004,    0.005,    0.000,    0.023,    0.000, <frozen importlib._bootstrap>:504(_init_module_attrs)
 1004/999,    0.002,    0.000,    0.287,    0.000, <frozen importlib._bootstrap>:564(module_from_spec)
     1045,    0.001,    0.000,    0.002,    0.000, <frozen importlib._bootstrap>:58(__init__)
      9/7,    0.000,    0.000,    0.029,    0.004, <frozen importlib._bootstrap>:622(_load_backward_compatible)
  1013/12,    0.005,    0.000,    1.299,    0.108, <frozen importlib._bootstrap>:651(_load_unlocked)
     1039,    0.000,    0.000,    0.001,    0.000, <frozen importlib._bootstrap>:707(find_spec)
        5,    0.000,    0.000,    0.000,    0.000, <frozen importlib._bootstrap>:728(create_module)
        5,    0.000,    0.000,    0.000,    0.000, <frozen importlib._bootstrap>:736(exec_module)
        5,    0.000,    0.000,    0.000,    0.000, <frozen importlib._bootstrap>:753(is_package)
     2089,    0.004,    0.000,    0.005,    0.000, <frozen importlib._bootstrap>:78(acquire)
     1034,    0.001,    0.000,    0.001,    0.000, <frozen importlib._bootstrap>:780(find_spec)
     3155,    0.001,    0.000,    0.002,    0.000, <frozen importlib._bootstrap>:843(__enter__)
     3155,    0.001,    0.000,    0.002,    0.000, <frozen importlib._bootstrap>:847(__exit__)
       48,    0.000,    0.000,    0.000,    0.000, <frozen importlib._bootstrap>:861(_find_spec_legacy)
     1039,    0.007,    0.000,    0.083,    0.000, <frozen importlib._bootstrap>:870(_find_spec)
        2,    0.000,    0.000,    0.000,    0.000, <frozen importlib._bootstrap>:917(_sanity_check)
  1051/10,    0.004,    0.000,    1.301,    0.130, <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
  1052/10,    0.005,    0.000,    1.301,    0.130, <frozen importlib._bootstrap>:966(_find_and_load)
        2,    0.000,    0.000,    0.001,    0.000, <frozen importlib._bootstrap>:982(_gcd_import)
4170/1152,    0.004,    0.000,    0.848,    0.001, <frozen importlib._bootstrap>:997(_handle_fromlist)
      152,    0.001,    0.000,    0.004,    0.000, <frozen importlib._bootstrap_external>:1067(_path_hooks)
     1642,    0.001,    0.000,    0.006,    0.000, <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
1035/1034,    0.004,    0.000,    0.069,    0.000, <frozen importlib._bootstrap_external>:1117(_get_spec)
     1034,    0.001,    0.000,    0.070,    0.000, <frozen importlib._bootstrap_external>:1149(find_spec)
      153,    0.001,    0.000,    0.002,    0.000, <frozen importlib._bootstrap_external>:1196(__init__)
     1224,    0.000,    0.000,    0.000,    0.000, <frozen importlib._bootstrap_external>:1202(<genexpr>)
       16,    0.000,    0.000,    0.000,    0.000, <frozen importlib._bootstrap_external>:1216(find_loader)
      997,    0.002,    0.000,    0.006,    0.000, <frozen importlib._bootstrap_external>:1228(_get_spec)
     1592,    0.015,    0.000,    0.063,    0.000, <frozen importlib._bootstrap_external>:1233(find_spec)
      153,    0.001,    0.000,    0.004,    0.000, <frozen importlib._bootstrap_external>:1281(_fill_cache)
      153,    0.000,    0.000,    0.003,    0.000, <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
     1872,    0.007,    0.000,    0.016,    0.000, <frozen importlib._bootstrap_external>:263(cache_from_source)
      995,    0.002,    0.000,    0.011,    0.000, <frozen importlib._bootstrap_external>:361(_get_cached)
      936,    0.001,    0.000,    0.001,    0.000, <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
     1592,    0.000,    0.000,    0.000,    0.000, <frozen importlib._bootstrap_external>:41(_relax_case)
       16,    0.000,    0.000,    0.000,    0.000, <frozen importlib._bootstrap_external>:413(_find_module_shim)
